Date,DateValue,Price,Open,High,Low
19-03-14,41717,1.3833,1.3933,1.3935,1.3809
20-03-14,41718,1.3779,1.3832,1.3845,1.3749
21-03-14,41719,1.3794,1.3779,1.3813,1.3767
24-03-14,41722,1.3839,1.3792,1.3876,1.376
25-03-14,41723,1.3827,1.3839,1.3848,1.375
26-03-14,41724,1.3783,1.3827,1.3829,1.3777
27-03-14,41725,1.374,1.3781,1.3798,1.3729
28-03-14,41726,1.3753,1.374,1.3773,1.3705
31-03-14,41729,1.3771,1.3755,1.3807,1.3734
01-04-14,41730,1.3794,1.3769,1.3817,1.3767
02-04-14,41731,1.3767,1.3792,1.3821,1.3752
03-04-14,41732,1.372,1.3768,1.3807,1.3699
04-04-14,41733,1.3703,1.3719,1.3732,1.3672
07-04-14,41736,1.3741,1.3696,1.3749,1.3689
08-04-14,41737,1.3796,1.3741,1.3813,1.3737
09-04-14,41738,1.3855,1.3794,1.3862,1.3779
10-04-14,41739,1.3888,1.3855,1.3899,1.3835
11-04-14,41740,1.3885,1.3888,1.3907,1.3864
14-04-14,41743,1.3821,1.3839,1.3866,1.381
15-04-14,41744,1.3814,1.3821,1.3835,1.379
16-04-14,41745,1.3816,1.3814,1.3852,1.3804
17-04-14,41746,1.3815,1.3816,1.3866,1.381
18-04-14,41747,1.3815,1.3814,1.3825,1.3808
21-04-14,41750,1.3792,1.3809,1.3832,1.3786
22-04-14,41751,1.3805,1.3794,1.3826,1.3785
23-04-14,41752,1.3817,1.3805,1.3855,1.38
24-04-14,41753,1.3832,1.3819,1.3843,1.3792
25-04-14,41754,1.3833,1.3832,1.385,1.3826
28-04-14,41757,1.385,1.3834,1.388,1.3814
29-04-14,41758,1.3812,1.3849,1.3879,1.3805
30-04-14,41759,1.3868,1.3813,1.3878,1.3777
01-05-14,41760,1.387,1.3866,1.3889,1.3861
02-05-14,41761,1.387,1.3868,1.3881,1.3811
05-05-14,41764,1.3876,1.3872,1.3892,1.3865
06-05-14,41765,1.3928,1.3875,1.3952,1.3869
07-05-14,41766,1.3912,1.3928,1.394,1.391
08-05-14,41767,1.3841,1.3911,1.3993,1.3832
09-05-14,41768,1.376,1.3841,1.3847,1.3746
12-05-14,41771,1.3757,1.375,1.3775,1.3748
13-05-14,41772,1.3704,1.3758,1.3773,1.3691
14-05-14,41773,1.3715,1.3704,1.3732,1.3697
15-05-14,41774,1.3711,1.3715,1.3733,1.3648
16-05-14,41775,1.3695,1.3712,1.3729,1.3687
19-05-14,41778,1.3709,1.3703,1.3736,1.3688
20-05-14,41779,1.3703,1.3708,1.3714,1.3678
21-05-14,41780,1.3687,1.3703,1.3724,1.3635
22-05-14,41781,1.3656,1.3687,1.3689,1.3645
23-05-14,41782,1.3634,1.3656,1.366,1.3615
26-05-14,41785,1.3646,1.3626,1.3655,1.3615
27-05-14,41786,1.3634,1.3647,1.367,1.3613
28-05-14,41787,1.3591,1.3635,1.3639,1.3588
29-05-14,41788,1.3602,1.3589,1.3626,1.3585
30-05-14,41789,1.3631,1.3601,1.365,1.3598
02-06-14,41792,1.3597,1.3636,1.3646,1.3589
03-06-14,41793,1.3628,1.3596,1.3647,1.3586
04-06-14,41794,1.3599,1.3628,1.3639,1.3595
05-06-14,41795,1.366,1.3599,1.3671,1.3504
06-06-14,41796,1.3643,1.3662,1.3678,1.362
09-06-14,41799,1.3594,1.3645,1.367,1.3583
10-06-14,41800,1.3548,1.3594,1.3603,1.3533
11-06-14,41801,1.3533,1.3548,1.3558,1.3521
12-06-14,41802,1.3553,1.3533,1.3574,1.3512
13-06-14,41803,1.3542,1.3552,1.358,1.3519
16-06-14,41806,1.3575,1.3535,1.358,1.3514
17-06-14,41807,1.3546,1.3574,1.3588,1.3536
18-06-14,41808,1.3596,1.3546,1.3599,1.354
